Timestamp,З ким ви найчастіше купуєте продукти або ділите побут?,Як ви зазвичай розподіляєте обов'язки щодо купівлі продуктів у вашій групі?,"З якими труднощами ви стикаєтесь під час спільних покупок? (Оберіть всі відповіді, що підходять)","Як ви оцінюєте ідею AI-агента, який автоматично формує спільний кошик, враховуючи вподобання кожного члена групи?",Які функції були б найбільш корисними для вас у такому додатку? [Автоматичне створення списку покупок за рецептами],Які функції були б найбільш корисними для вас у такому додатку? [Урахування дієт та алергій кожного учасника],Які функції були б найбільш корисними для вас у такому додатку? [Встановлення бюджетних лімітів для групи],Які функції були б найбільш корисними для вас у такому додатку? [Розподіл покупок між учасниками (хто що купує)],Які функції були б найбільш корисними для вас у такому додатку? [Спільне редагування кошика в реальному часі],Наскільки комфортно вам було б довірити планування бюджету та вибір продуктів AI-агенту?,"Чи є у вас інші ідеї або зауваження, які б зробили Silpo Family кращим?"
08/09/2026 15:35:24,Живу з родиною,"Складаємо список разом, але купує хтось один",Не маю таких труднощів,2,Було б зручно,Дуже важливо,Дуже важливо,Не потрібно,Було б зручно,4,
08/09/2026 15:35:35,Живу з родиною,Хтось один бере на себе всі закупки,"Забуваємо інгредієнти, Не маю таких труднощів",2,Було б зручно,Дуже важливо,Було б зручно,Було б зручно,Було б зручно,3,
08/09/2026 15:36:45,Живу з партнером/партнеркою,"Складаємо список разом, але купує хтось один","Врахування харчових обмежень кожного (алергії, дієти), Планування спільних страв/рецептів",4,Було б зручно,Дуже важливо,Дуже важливо,Не потрібно,Було б зручно,4,
08/09/2026 15:37:32,Живу з родиною,"Складаємо список разом, але купує хтось один",Планування спільних страв/рецептів,3,Дуже важливо,Було б зручно,Було б зручно,Не потрібно,Було б зручно,4,
08/09/2026 15:38:51,Живу з друзями або співмешканцями,Кожен купує собі окремо,Не маю таких труднощів,5,Дуже важливо,Було б зручно,Дуже важливо,Дуже важливо,Дуже важливо,3,
08/09/2026 15:39:11,Живу з родиною,Хтось один бере на себе всі закупки,Планування спільних страв/рецептів,2,Було б зручно,Дуже важливо,Було б зручно,Не потрібно,Було б зручно,3,
08/09/2026 15:39:14,Живу з друзями або співмешканцями,"Складаємо список разом, але купує хтось один","Врахування харчових обмежень кожного (алергії, дієти), Узгодження бюджету, Планування спільних страв/рецептів",3,Дуже важливо,Дуже важливо,Дуже важливо,Не потрібно,Дуже важливо,4,
08/09/2026 15:39:41,Живу з друзями або співмешканцями,"Складаємо список разом, але купує хтось один","Узгодження бюджету, Забуваємо інгредієнти, Складно розподілити, хто що купує",5,Було б зручно,Було б зручно,Було б зручно,Не потрібно,Дуже важливо,5,
08/09/2026 15:39:46,Живу з партнером/партнеркою,"Складаємо список разом, але купує хтось один","Врахування харчових обмежень кожного (алергії, дієти)",2,Було б зручно,Дуже важливо,Не потрібно,Було б зручно,Дуже важливо,1,
08/09/2026 15:39:47,Живу з друзями або співмешканцями,Кожен купує собі окремо,"Врахування харчових обмежень кожного (алергії, дієти), Планування спільних страв/рецептів, Забуваємо інгредієнти",4,Було б зручно,Було б зручно,Не потрібно,Не потрібно,Було б зручно,3,
08/09/2026 15:40:08,Живу з друзями або співмешканцями,Кожен купує собі окремо,Узгодження бюджету,5,Дуже важливо,Дуже важливо,Дуже важливо,Було б зручно,Дуже важливо,5,-
08/09/2026 15:40:09,Живу з партнером/партнеркою,"Хаотично, часто виникають конфлікти або забуваємо щось купити","Узгодження бюджету, Планування спільних страв/рецептів",5,Дуже важливо,Не потрібно,Було б зручно,Не потрібно,Дуже важливо,4,ai планування рецептів по наданому бюджету і меті. Припустім набрати чи скинути вагу або набрати мязи. Аби в додатку можна було зробити аі меню на тиждень по бажаннях і тоді він би складав список продуктів на ці страви. І ще класно зразу уточнювати скільки в середньому на страву піде часу приготування 
08/09/2026 15:42:07,Живу з друзями або співмешканцями,"Хаотично, часто виникають конфлікти або забуваємо щось купити","Врахування харчових обмежень кожного (алергії, дієти), Планування спільних страв/рецептів",5,Було б зручно,Дуже важливо,Дуже важливо,Було б зручно,Дуже важливо,4,
08/09/2026 15:42:08,Живу з друзями або співмешканцями,Кожен купує собі окремо,Не маю таких труднощів,1,Було б зручно,Дуже важливо,Дуже важливо,Не потрібно,Дуже важливо,1,
08/09/2026 15:42:45,Живу з друзями або співмешканцями,"Складаємо список разом, але купує хтось один","Забуваємо інгредієнти, Складно розподілити, хто що купує",5,Дуже важливо,Дуже важливо,Було б зручно,Було б зручно,Дуже важливо,5,-
08/09/2026 15:45:15,Живу з друзями або співмешканцями,Кожен купує собі окремо,Не маю таких труднощів,3,Було б зручно,Не потрібно,Було б зручно,Дуже важливо,Дуже важливо,3,
08/09/2026 15:46:18,Живу з друзями або співмешканцями,Кожен купує собі окремо,Не маю таких труднощів,5,Дуже важливо,Дуже важливо,Дуже важливо,Дуже важливо,Дуже важливо,5,
08/09/2026 15:47:10,Живу з родиною,"Складаємо список разом, але купує хтось один","Планування спільних страв/рецептів, Забуваємо інгредієнти, Складно розподілити, хто що купує",5,Дуже важливо,Дуже важливо,Було б зручно,Було б зручно,Дуже важливо,4,
08/09/2026 15:47:53,Живу з родиною,"Складаємо список разом, але купує хтось один","Врахування харчових обмежень кожного (алергії, дієти), Планування спільних страв/рецептів, Забуваємо інгредієнти",5,Дуже важливо,Було б зручно,Було б зручно,"Було б зручно, Не потрібно",Дуже важливо,4,
08/09/2026 15:49:34,Живу з друзями або співмешканцями,Кожен купує собі окремо,"Узгодження бюджету, Складно розподілити, хто що купує",4,Було б зручно,Дуже важливо,Дуже важливо,Було б зручно,Не потрібно,5,
08/09/2026 15:50:37,Живу з родиною,"Складаємо список разом, але купує хтось один","Узгодження бюджету, Планування спільних страв/рецептів",4,Було б зручно,Не потрібно,Не потрібно,Не потрібно,Було б зручно,4,
08/09/2026 15:53:05,Живу з родиною,Хтось один бере на себе всі закупки,"Планування спільних страв/рецептів, Забуваємо інгредієнти",3,Було б зручно,Дуже важливо,Було б зручно,Було б зручно,Не потрібно,5,
08/09/2026 16:00:15,Живу один/одна,Кожен купує собі окремо,"Узгодження бюджету, Складно розподілити, хто що купує",5,Дуже важливо,Було б зручно,Дуже важливо,Було б зручно,Було б зручно,5,
08/09/2026 16:03:40,Живу з друзями або співмешканцями,Кожен купує собі окремо,Не маю таких труднощів,4,Було б зручно,Дуже важливо,Не потрібно,Не потрібно,Дуже важливо,2,
08/09/2026 16:04:51,Живу з родиною,"Складаємо список разом, але купує хтось один",Не маю таких труднощів,1,Не потрібно,Не потрібно,Не потрібно,Не потрібно,Було б зручно,2,
08/09/2026 16:05:28,Живу з друзями або співмешканцями,Кожен купує собі окремо,"Врахування харчових обмежень кожного (алергії, дієти)",5,Було б зручно,Дуже важливо,Дуже важливо,Було б зручно,Дуже важливо,4,
08/09/2026 16:14:50,Живу з родиною,Кожен купує собі окремо,"Врахування харчових обмежень кожного (алергії, дієти)",1,Було б зручно,Дуже важливо,Було б зручно,Дуже важливо,Дуже важливо,5,
08/09/2026 16:16:39,Живу з родиною,"Хаотично, часто виникають конфлікти або забуваємо щось купити",Забуваємо інгредієнти,2,Було б зручно,Було б зручно,Було б зручно,Не потрібно,Було б зручно,2,
08/09/2026 16:22:05,Живу з родиною,Хтось один бере на себе всі закупки,"Врахування харчових обмежень кожного (алергії, дієти), Планування спільних страв/рецептів",3,Було б зручно,Було б зручно,Було б зручно,Не потрібно,Було б зручно,5,
